id,score,at,content_raw,content_clean,manual_group,notes
rev_334f0e84-86b9-420e-93a3-76d392b4fc03,1,2026-02-16T11:13:17,"this app seems way too complicated and it's too hard to figure out how to get started. why do i need to choose between 6 instructors just to try the beginning meditation course, which itself is hard to find because its burried below 12 other courses on a separate tab? i uninstalled at this point. the app is asking me to make decisions that seem important when i have no information to base those decisions on. too stressful.",app way complic s hard figur start need choos instructor just tri begin medit cours hard burri cours separ tab uninstal point app ask make decis import inform base decis stress,,
rev_a401d35e-74f1-4f0c-a633-9ccafeb9978f,1,2026-01-26T10:41:34,Updated review 2026- App cannot play a meditation without losing internet connection. Definitely not my wifi or phone. I have realized I've fallen off my meditation practice because of this over the last couple of months. Sad but I'll cancel because I am no longer using daily meditations or using it to sleep. Original review in 2017- 5⭐ Really nothing to critique at all. Well paced and lots of options after the first 30 days. An exceptionally different sense of my day - it really works!,updat review thousand app play medit lose internet connect definit wifi phone realiz ve fallen medit practic coupl month sad ll cancel longer use daili medit use sleep origin review thousand seventeen realli critiqu pace lot option thirti day except differ sens day realli work,,
rev_91bae359-785b-43c5-80f0-f4c5e4045874,1,2025-10-21T16:33:47,"WARNING: Strict Annual Auto-Renewal Policy / No Refunds ​I was charged the full annual fee for this digital service which I had completely forgotten about and not used in months. I contacted Headspace support immediately after the charge, but they cited a strict, inflexible no-refund policy. They will not reimburse you for unused time, even for a digital product with zero activity. Set strong calendar reminders to cancel early—their renewal policy is aggressive.",warn strict annual auto renew polici refund charg annual fee digit servic complet forgotten use month contact headspac support immedi charg cite strict inflex refund polici reimburs unus time digit product zero activ set strong calendar remind cancel earli renew polici aggress,,
rev_053a01d4-0ad5-4570-95b7-bcaad3b68072,2,2026-01-07T02:32:19,"too much explaining, too little actual meditation. I can't believe they don't have box breathing! the interface is confusing and disorganized. I tried Calm and this doesn't even come close. Disappointed 😞",explain littl actual medit t believ don t box breath interfac confus disorgan tri calm doesn t come close disappoint,,
rev_7c61b7b8-c543-403b-96fd-95ae1a9f2d3a,5,2026-01-16T11:56:34,Love this App! It has helped me so much in such a short time. Totally worth the price. I am excited to watch it grow.,love app help short time total worth price excit watch grow,,
rev_71a06434-63c0-4947-a758-d699bdecdedd,3,2026-01-06T11:41:37,its rlly good but the problem is is that you need to pay for all the meditations but everyone is saying that it helped them alot but it doesn't have any free meditations so idk anymore,rlli good problem need pay medit say help alot doesn t free medit idk anymor,,
rev_85f4c52c-1682-4ee8-97d6-73c60820be1a,1,2025-10-14T10:31:07,"edit: fix for people struggling with no load issues... clear user data and cache, then delete and reinstall. I've used this to get to sleep for years. Lately it isn't functioning well at all. Takes multiple tries to get it working - starts loading, then stalls. Just uninstalled / reinstalled tonight and now it won't work at all. Not great given I pay a subscription for full access.",edit fix peopl struggl load issu clear user data cach delet reinstal ve use sleep year late isn t function take multipl tri work start load stall just uninstal reinstal tonight won t work great given pay subscript access,,
rev_72af2946-4615-4198-9d30-b93da8921639,1,2026-01-22T20:53:57,"it's soo slow, every page takes so long to load!!",s soo slow page take long load,,
rev_ed00d464-5687-484d-aa7d-ce06f3e49e1a,2,2025-10-12T22:47:02,"I would rate headspace as a five, but lately it won't open on my phone. I've been using it for 5 years, and now I can't get it to open.",rate headspac late won t open phone ve use year t open,,
rev_43d9ddb1-fcb7-4fa3-9ef1-2cae6b0d2094,2,2026-01-04T18:48:30,constantly crashing during sessions. i am moving onto using YouTube for mediation.,constantli crash session move use youtub mediat,,
rev_828bf172-79c0-469e-8172-7c1293fcd5ad,2,2026-01-22T21:30:55,"I used this app for quite awhile then took a break the last year and came back and it is now garbage. confusing to figure out what to do, have to click 6 times what used to be 2 clicks. headspace ruined their app.",use app quit awhil took break year came garbag confus figur click time use click headspac ruin app,,
rev_5ed540a5-042b-4734-9ff7-6988f95155ab,5,2025-11-20T12:06:04,"this update prevents me from closing the app with the Back Button, leaving me in a loop between Explore and Home",updat prevent close app button leav loop explor home,,
rev_32de7ecf-7dd2-4c4d-ae23-14e7f4d103f8,2,2025-11-19T03:01:12,I really liked the app but the last few months is bugging constantly. Some videos cannot start and if I miss one day I'm losing the videos of the day. The whole structure in the app changes. I have to reinstall the app to return everything to normal. Even clearing the caches did not help. This frustrated me so much so I decided to not pay for the next year. I'm so sad and disappointed. If this is not fix there is no point to continue paying no matter in the past was beneficial for me.,realli like app month bug constantli video start miss day m lose video day structur app chang reinstal app return normal clear cach did help frustrat decid pay year m sad disappoint fix point continu pay matter past benefici,,
rev_6e5707f6-7552-465c-9e15-d3862ca28af8,1,2025-10-14T00:58:11,"What is happening to Headspace?!! Could someone in charge please make a post or something that shows they are aware of the problems and actively trying to fix them... This app works well for what it's for, ""Too Well"" if this is the quality we have now. I know the app encourages learning to meditate rather then ""just"" follow a guide so I can be capable of doing it without the app, but on my really bad days, this is what I turn to. please fix the loading issues.",happen headspac charg make post show awar problem activ tri fix app work s qualiti know app encourag learn medit just follow guid capabl do app realli bad day turn fix load issu,,
rev_a3965f57-e87a-40fc-849e-fd369ae53549,1,2025-11-03T09:52:41,"I have been using this app for more than 2 years now. It helped me to recover from anxiety but all of a sudden, the app is crashing on my device. Now I can't play any audio and the home screen appears blank and grey. Please fix this",use app year help recov anxieti sudden app crash devic t play audio home screen appear blank grey fix,,
rev_c289b8cf-0c0e-4806-9ed8-68a5c0cf5448,2,2026-01-29T02:25:01,"I've been using this app for several years now and recently the loading time has increased significantly, maybe as a patience exercise but I just find my self leaving the app and doing meditation on my own, I would appreciate it if you could improve the loading time and decrease it, thanks for the years of good experience.",ve use app year recent load time increas significantli mayb patienc exercis just self leav app do medit appreci improv load time decreas thank year good experi,,
rev_2181f1b1-4f60-4fdd-b0bf-f13efd235d50,1,2026-03-28T09:29:50,"highly disappointed. I was recommended this app by a specialist, only to find that to access anything, I have to either pay a yearly subscription or monthly of $19.95. Once I discovered this, I uninstalled the app. No way can I afford another expense, especially when I downloaded the app to help me relax.",highli disappoint recommend app specialist access pay yearli subscript monthli nineteen nineti discov uninstal app way afford expens especi download app help relax,,
rev_68b38d0e-60c2-4730-96a1-08835397d364,2,2025-11-17T03:07:18,used to be helpful. now you can't do anything without a membership. loaded up the app and was so frustrated I couldnt find anything doable.,use help t membership load app frustrat doabl,,
rev_73496ae8-9050-4c58-b4de-8c6be4ffe6d3,2,2026-03-22T02:15:22,"Good app, but please please make a setting to turn off the haptic feedback when I press on buttons. I really don't like the sensation when I'm trying to relax.",good app make set turn haptic feedback press button realli don t like sensat m tri relax,,
rev_09515c7d-b979-4bd5-999a-68ef296a939c,1,2026-02-01T19:48:52,"Just adding my voice and frustration with the app suddenly stopping mid session. Ive uninstalled and reinstalled the app many times hoping it would correct the issue. I even tried to mess with the settings thinking it might be with my phone, but nothing Ive done has helped. I've depended on this app to help me fall asleep, but with these issues, getting decent sleep is getting more difficult.",just ad voic frustrat app suddenli stop mid session ive uninstal reinstal app time hope correct issu tri mess set think phone ive help ve depend app help fall asleep issu get decent sleep get difficult,,
rev_2a384b8d-9605-4e9e-8c99-6f465f7698cc,2,2026-01-22T18:42:29,"sleep stories keep crashing and going oh dear, somethings gone wrong! no option to report it just a button to go to the previous screen, it keeps happening. sort it out please",sleep stori crash go oh dear someth gone wrong option report just button previou screen keep happen sort,,
rev_2b146587-baff-48d0-9f6e-4a28b7d9b47a,4,2025-11-10T23:55:18,The new update isn't bad. Wish there were more sleepcasts put out though. It would also be cool to have a Dark mode option.,new updat isn t bad wish sleepcast cool dark mode option,,
rev_a975eeec-525b-4b3d-b0a7-7bfed71f137f,1,2026-02-02T15:23:56,the app crashes or freezes constantly. It's really hard to meditate when a paid app operates as poorly as this. This has been constantly happening over the past few months. I am going to have to search for an alternative because I can't have this keep happening.,app crash freez constantli s realli hard medit paid app oper poorli constantli happen past month go search altern t happen,,
rev_dac35143-5b31-439c-8c75-4a5d2b6cdee6,2,2025-11-02T17:37:22,"Very disappointed in this app. Scheduled my first coaching session. The app kept kicking me out of the session for no reason. Wouldn't let me send messages. The coach couldn't connect to the chat either, at times. Sleep stories sometimes just randomly pause. There are very long periods of silence in sleep stories, which makes no sense at all. App constantly freezes and crashes. It actually will create anxiety as opposed to relieve it when you use this app. Uninstalling.",disappoint app schedul coach session app kept kick session reason wouldn t let send messag coach couldn t connect chat time sleep stori just randomli paus long period silenc sleep stori make sens app constantli freez crash actual creat anxieti oppos reliev use app uninstal,,
